Mean ,SD,Variance,Kurtosis,Median,Mode,sum,Skewness ,max,min,range,RMS, Impulse Factor,Shape factor,k factor,Std error,count,condition 
0.015291,0.423501,0.179353,15.065668,0.015096,-0.018758,183.495985,0.563177,6.732876,-3.899619,10.632495,0.423759,440.306691,27.71236,2.853116,0.003866,12000,B
0.014055,0.456098,0.208026,12.340082,0.009681,-0.039121,168.665737,0.551809,5.595905,-3.718187,9.314092,0.456296,398.129825,32.463908,2.553388,0.004164,12000,B
0.013883,0.416438,0.173421,5.910703,0.013192,0.083422,166.598339,0.155674,3.831866,-3.046013,6.877879,0.416652,276.007486,30.011276,1.596556,0.003802,12000,B
0.011568,0.431313,0.186031,12.515007,0.009711,0.026838,138.816073,0.576524,5.809827,-3.748832,9.558659,0.43145,502.232372,37.296858,2.506652,0.003937,12000,B
0.012618,0.421372,0.177554,17.076499,0.009473,-0.004293,151.410404,0.853623,5.940263,-4.398096,10.338359,0.421543,470.794316,33.409338,2.504079,0.003847,12000,B
0.011702,0.432524,0.187077,8.599467,0.011437,-0.037923,140.428136,0.517606,4.58223,-2.810015,7.392244,0.432665,391.565082,36.972471,1.982569,0.003948,12000,B
0.011273,0.405255,0.164231,5.906366,0.007004,0.014543,135.271274,0.242405,4.140104,-2.568125,6.708229,0.405395,367.271236,35.962816,1.678376,0.003699,12000,B
0.010388,0.425579,0.181117,11.448466,0.013133,0.054633,124.661689,0.537952,5.523249,-2.825783,8.349032,0.425688,531.670853,40.976954,2.351181,0.003885,12000,B
0.010933,0.418823,0.175413,10.611704,0.009354,0.056954,131.201933,0.542229,5.4666,-2.792401,8.259001,0.418948,499.986503,38.317885,2.290223,0.003823,12000,B
0.011934,0.441319,0.194762,11.768861,0.011705,-0.063609,143.204422,0.419519,4.989782,-3.503313,8.493095,0.441462,418.125279,36.992844,2.202797,0.004029,12000,B
0.013026,0.440654,0.194176,8.907458,0.014412,0.01832,156.315319,0.448564,4.754379,-3.779061,8.53344,0.440828,364.983715,33.841461,2.095864,0.004023,12000,B
0.011733,0.459423,0.21107,10.915582,0.00745,-0.009987,140.799926,0.328377,4.631738,-4.209642,8.84138,0.459554,394.750613,39.166545,2.128533,0.004194,12000,B
0.011195,0.420173,0.176545,7.678863,0.00629,-0.03915,134.337098,0.137502,4.025556,-3.43262,7.458176,0.420304,359.59294,37.544745,1.691959,0.003836,12000,B
0.010735,0.461518,0.212999,16.902775,0.009949,0.022265,128.818799,0.404024,6.634156,-5.068306,11.702462,0.461623,617.99889,43.002105,3.062481,0.004213,12000,B
0.015339,0.448895,0.201506,8.245954,0.016108,0.032069,184.067296,0.328022,4.582884,-3.471656,8.05454,0.449138,298.774472,29.280902,2.058348,0.004098,12000,B
0.01531,0.445254,0.198251,10.534879,0.019053,0.039873,183.715679,0.210036,5.005789,-3.941808,8.947598,0.445498,326.969767,29.099214,2.230072,0.004065,12000,B
0.016213,0.409831,0.167962,5.226615,0.016078,-0.002497,194.561679,-0.004846,3.101139,-3.168832,6.269971,0.410135,191.269239,25.295937,1.271886,0.003741,12000,B
0.016432,0.481855,0.232185,10.567205,0.019381,0.05992,197.178015,0.310962,4.744858,-4.719664,9.464522,0.482115,288.765943,29.34092,2.287569,0.004399,12000,B
0.016814,0.414687,0.171965,5.255076,0.017715,-0.134419,201.762316,0.133343,3.57748,-2.55789,6.13537,0.41501,212.773919,24.683105,1.48469,0.003786,12000,B
0.014432,0.456324,0.208231,14.762938,0.018696,0.088358,173.182023,0.615694,7.281219,-4.046121,11.32734,0.456533,504.524788,31.633732,3.324115,0.004166,12000,B
0.014724,0.441465,0.194891,7.745928,0.014472,0.051361,176.691297,0.183261,4.151827,-3.512595,7.664422,0.441692,281.971549,29.997556,1.83383,0.00403,12000,B
0.012755,0.435846,0.189961,9.35686,0.008015,-0.021208,153.054123,0.25599,4.361405,-3.26053,7.621935,0.436014,341.950001,34.185089,1.901634,0.003979,12000,B
0.016271,0.440916,0.194406,8.193425,0.011913,0.023925,195.255691,0.334053,4.266494,-3.111886,7.378379,0.441197,262.209632,27.115048,1.882365,0.004025,12000,B
0.015839,0.4361,0.190183,6.73006,0.017179,0.022736,190.062888,0.143826,3.840554,-3.038396,6.87895,0.436369,242.481016,27.551053,1.6759,0.003981,12000,B
0.008511,0.614247,0.3773,7.234666,0.013281,0.001515,102.131077,-0.159014,4.229065,-4.487533,8.716598,0.614281,496.898467,72.175575,2.597833,0.005607,12000,C
